Timestamp,What's your age?,What's your gender?,What type(s) of music do you like to listen? Tick all that apply*,What media are you used to listening music?,What's the average hour(s) do you listen to music per week?
31/03/2022 23:44:52,22,male,"Rock Music, Country Music, Pop Music",CloudMusic(网易云音乐）,10
31/03/2022 23:46:26,20,Female,Electronic Dance Music,Spotify,3
31/03/2022 23:54:53,22,male,Pop Music,iTunes,8
31/03/2022 23:57:38,,Female,"Electronic Dance Music, Rock Music, Pop Music",CloudMusic(网易云音乐）,5
01/04/2022 00:07:10,19,Female,"Country Music, Pop Music",CloudMusic(网易云音乐）,4
01/04/2022 00:11:21,18,Female,"Dubstep, Country Music, Electro, Pop Music",Spotify,7
01/04/2022 00:11:53,20,Female,Pop Music,QQMusic,3
01/04/2022 00:15:34,33,Female,Pop Music,YouTube Music,8
01/04/2022 00:16:57,19,Female,"Country Music, Pop Music",CloudMusic(网易云音乐）,2
01/04/2022 00:17:12,23,male,Pop Music,none of above,2
01/04/2022 00:31:43,20,Female,Country Music,Spotify,15
01/04/2022 00:34:51,43,male,Pop Music,none of above,1
01/04/2022 00:35:47,22,male,Rhythm and Blues,QQMusic,7
01/04/2022 00:43:24,19,male,"Electronic Dance Music, Pop Music",CloudMusic(网易云音乐）,100
01/04/2022 00:52:03,18,Female,"Jazz, Rhythm and Blues, Country Music, Pop Music",CloudMusic(网易云音乐）,30
01/04/2022 00:58:20,20,male,Pop Music,CloudMusic(网易云音乐）,20
01/04/2022 02:15:28,22,Female,"Electronic Dance Music, Rock Music",CloudMusic(网易云音乐）,10
01/04/2022 02:32:53,19,Female,"Electronic Dance Music, Rhythm and Blues, Electro, Pop Music",QQMusic,10
01/04/2022 02:42:17,20,male,"Rock Music, Country Music, Electro, Pop Music",iTunes,20
01/04/2022 02:54:39,20,Female,Pop Music,CloudMusic(网易云音乐）,5
01/04/2022 02:56:18,23,male,"Rock Music, Country Music, Pop Music",QQMusic,14
01/04/2022 05:28:48,20,Female,Pop Music,YouTube Music,40
01/04/2022 09:14:19,20,Female,Pop Music,Spotify,8
01/04/2022 10:13:33,19,male,"Dubstep, Rhythm and Blues, Pop Music",YouTube Music,84
01/04/2022 10:18:18,57,Female,none of above,none of above,2
01/04/2022 10:20:36,22,male,Pop Music,CloudMusic(网易云音乐）,2
01/04/2022 15:13:36,35,Female,"Rock Music, Pop Music",YouTube Music,10
